# Unreal Engine：中文候选到官方英文术语
虚幻编辑器	Unreal Editor
稀疏体积	Sparse Volume
速度场	Velocity Field
碰撞几何体	Collision Geometry
代理几何体	Proxy Geometry
数字资产	Digital Asset
任务图	Task Graph
工作项	Work Item
几何体网络	Geometry Network
动力学网络	Dynamics Network
渲染网络	Render Network
通道网络	Channel Network
合成网络	Compositing Network
任务网络	Task Network
灯光网络	Lighting Operator Network
表面操作器	Surface Operator (SOP)
动力学操作器	Dynamics Operator (DOP)
渲染操作器	Render Operator (ROP)
通道操作器	Channel Operator (CHOP)
合成操作器	Compositing Operator (COP)
任务操作器	Task Operator (TOP)
灯光操作器	Lighting Operator (LOP)
布料约束	Cloth Constraint
软体约束	Soft Body Constraint
刚体模拟	Rigid Body Simulation
流体模拟	Fluid Simulation
烟火模拟	Pyro Simulation
粒子流体	FLIP Fluid
场景图	Scene Graph
场景图细节	Scene Graph Details
材质库	Material Library
组件构建器	Component Builder
材质绑定	Material Binding
渲染委托	Render Delegate
图元变量	Primvar
非破坏性编辑	Non-destructive Editing
程序化生成	Procedural Generation

# Houdini Engine for Unreal
会话同步	Session Sync
节点同步	Node Sync
地形样条	Landscape Spline
曲线输入	Curve Input
世界输入	World Input
几何数据转换	Geometry Marshalling
烘焙输出	Baked Output
输出属性	Output Attributes
实例化输出	Instanced Output
地形编辑层	Landscape Edit Layer
地形散布	Landscape Scatter
程序化世界生成	Procedural World Generation
虚幻样条组件	Unreal Spline Component
几何体集合输出	Geometry Collection Output
骨骼网格体输出	Skeletal Mesh Output
捕获姿势	Capture Pose
静止几何体	Rest Geometry

# Unreal Engine：英文候选到中文释义
Unreal	虚幻
Unreal Engine	虚幻引擎
Unreal Editor	虚幻编辑器
UE	虚幻引擎
UE5	虚幻引擎5
Blueprint	蓝图
Blueprints	蓝图
Blueprint Function Library	蓝图函数库
Blueprint Interface	蓝图接口
Animation Blueprint	动画蓝图
Level Blueprint	关卡蓝图
Behavior Tree	行为树
Blackboard	黑板
Player Controller	玩家控制器
AI Controller	AI控制器
Game Instance	游戏实例
Game Mode	游戏模式
Game State	游戏状态
World Partition	世界分区
Data Layer	数据层
Level Instance	关卡实例
Streaming Source	流送源
HLOD	层级细节
Static Mesh	静态网格体
Skeletal Mesh	骨骼网格体
Instanced Static Mesh	实例化静态网格体
ISM	实例化静态网格体
Hierarchical Instanced Static Mesh	分层实例化静态网格体
HISM	分层实例化静态网格体
Geometry Collection	几何体集合
Material Instance	材质实例
Material Function	材质函数
Material Parameter Collection	材质参数集合
MPC	材质参数集合
Runtime Virtual Texture	运行时虚拟纹理
RVT	运行时虚拟纹理
Virtual Shadow Maps	虚拟阴影贴图
VSM	虚拟阴影贴图
Mesh Distance Field	网格体距离场
Global Distance Field	全局距离场
Shader Complexity	着色器复杂度
Texture Streaming	纹理流送
Virtual Texture	虚拟纹理
Global Illumination	全局光照
Surface Cache	表面缓存
Reflection Capture	反射捕获
Volumetric Fog	体积雾
Volumetric Cloud	体积云
Exponential Height Fog	指数高度雾
Post Process Volume	后期处理体积
Nanite	Nanite虚拟几何体
Lumen	Lumen全局光照和反射
Niagara	Niagara视觉特效系统
MetaSounds	MetaSounds音频系统
Sequencer	序列器
Control Rig	Control Rig绑定系统
Motion Matching	运动匹配
Movie Render Queue	电影渲染队列
MRQ	电影渲染队列
Procedural Content Generation	程序化内容生成
PCG	程序化内容生成

# Houdini：英文候选到中文释义
Houdini	Houdini程序化三维软件
SideFX	Houdini开发商
Houdini Engine	Houdini引擎
Houdini Digital Asset	Houdini数字资产
HDA	Houdini数字资产
SOP	表面操作器
DOP	动力学操作器
LOP	灯光操作器
TOP	任务操作器
ROP	渲染操作器
CHOP	通道操作器
COP	合成操作器
VOP	VEX操作器
OBJ	对象网络
VEX	Houdini表达式语言
HScript	Houdini脚本语言
Solaris	基于USD的场景构建与外观开发工具集
Karma	Houdini的USD渲染器
Karma XPU	Karma CPU和GPU渲染器
Mantra	Houdini传统渲染器
MaterialX	跨渲染器材质描述标准
OpenUSD	通用场景描述
USD	通用场景描述
OpenVDB	稀疏体积数据结构
VDB	稀疏体积数据
PDG	程序化依赖关系图
KineFX	Houdini角色与运动学工具集
Vellum	Houdini多物理约束求解器
Pyro	烟火模拟工具集
FLIP	粒子流体方法
Copernicus	Houdini图像处理框架
APEX	Houdini角色绑定与动画框架
SideFX Labs	SideFX实验性工具集
Geometry Spreadsheet	几何体电子表格
Attribute Wrangle	属性处理节点
Volume Wrangle	体积属性处理节点
Point Wrangle	点属性处理节点
Packed Primitive	打包图元
HeightField	高度场
HeightField Erode	高度场侵蚀
Material Library	材质库
Component Builder	组件构建器
Scene Graph Details	场景图细节

# Houdini Engine for Unreal：英文候选到中文释义
Houdini Engine for Unreal	Houdini虚幻引擎插件
Session Sync	会话同步
Node Sync	节点同步
Landscape Spline	地形样条
Curve Input	曲线输入
World Input	世界输入
Geometry Marshalling	几何数据转换
Output Attributes	输出属性
Landscape Edit Layer	地形编辑层
Landscape Scatter	地形散布
Skeletal Mesh Output	骨骼网格体输出
