# 自定义候选窗翻译，优先于 ECDICT 大词库。
# 格式：源词<TAB>译文
# 源词含汉字则为中译英，否则为英译中。同一源词后写覆盖先写。
华科	HUST
Motion Matching	运动匹配
Movie Render Queue	电影渲染队列
Procedural Content Generation	程序化内容生成

# Houdini：英文候选到中文释义
SideFX	Houdini开发商
Houdini Engine	Houdini引擎
Houdini Digital Asset	Houdini数字资产
HScript	Houdini脚本语言
Karma XPU	Karma CPU和GPU渲染器
MaterialX	跨渲染器材质描述标准
OpenUSD	通用场景描述
OpenVDB	稀疏体积数据结构
KineFX	Houdini角色与运动学工具集
Copernicus	Houdini图像处理框架
SideFX Labs	SideFX实验性工具集
Geometry Spreadsheet	几何体电子表格
Attribute Wrangle	属性处理节点
Volume Wrangle	体积属性处理节点
Point Wrangle	点属性处理节点
Packed Primitive	打包图元
HeightField	高度场
HeightField Erode	高度场侵蚀
Material Library	材质库
Component Builder	组件构建器
Scene Graph Details	场景图细节

# Houdini Engine for Unreal：英文候选到中文释义
Houdini Engine for Unreal	Houdini虚幻引擎插件
Session Sync	会话同步
Node Sync	节点同步
Landscape Spline	地形样条
Curve Input	曲线输入
World Input	世界输入
Geometry Marshalling	几何数据转换
Output Attributes	输出属性
Landscape Edit Layer	地形编辑层
Landscape Scatter	地形散布
Skeletal Mesh Output	骨骼网格体输出
# 常用寒暄与礼貌用语。ECDICT 反查按英文词质量分排序，核心词（hello、thank you）
# 常常排不过借词和俚语（ciao、hiya、howzit），导致候选窗给出的释义偏门。
# 这一组是 MSIME-Windows#75 报告的错译及同类高频词。
你好	hello
您好	hello
有没有	is there; do you have
刚才	a moment ago; just now
谢谢	thank you
多谢	thanks a lot
再见	goodbye
早上好	good morning
中午好	good afternoon
晚上好	good evening
晚安	good night
对不起	sorry
不好意思	excuse me; sorry
没关系	it doesn't matter; never mind
不客气	you're welcome
欢迎	welcome
请问	excuse me; may I ask
再见了	goodbye
